99,Emelina,Glazyer,Colombia,398-3926,EGlazyer@live.co.uk,988986238,t3e+!!x,
80,Cobby,Ockwell,Austria,398-1680,COckwell@aim.com,823804486,*.e:1TFY]E,
86,Rahel,Dightham,Burkina Faso,209-3382,RDightham@home.nl,931099451,<nDz8(H{;R,
35,Jobina,De Ruggero,Venezuela,908-9904,JDe Ruggero@tin.it,285433483,n@!fFRak/#,
87,Belvia,Wardle,Cyprus,209-6628,BWardle@ig.com.br,590387708,#I!ny:!BR,
64,Fanchette,Eastlake,Botswana,867-5431,FEastlake@comcast.net,184124220,qLjEYT)D6/NJ~koi,
39,Coriss,Threlfall,Kyrgyzstan,398-1018,CThrelfall@gmx.de,651836836,6qEmCr4tXHT7JTq_,
6,Helyn,Fountaine,Trinidad and Tobago,925-4652,HFountaine@shaw.ca,159997301,ud|po)wP64`fh,
97,Minnaminnie,Reedman,Canada,444-8636,MReedman@bluewin.ch,373059560,UPt8c4,
69,Tina,De Lorenzo,Morocco,925-9605,TDe Lorenzo@rocketmail.com,518646579,GI~C@u^j,
1,Karylin,Chewter,Malawi,429-5793,KChewter@ig.com.br,819885386,\"yJ(bZyw-*/,
20,Paulie,Ocklin,Malaysia,429-6621,POcklin@telenet.be,157962504,D]i:OYI]O,
37,Randene,Sinnott,Senegal,925-3717,RSinnott@live.fr,176593093,qDED$YQ,
56,Fields,Collings,Iraq,997-8856,FCollings@bluewin.ch,923578341,/L2'TpV,
9,Alexa,McIlvenna,Central African Republic,270-7227,AMcIlvenna@home.nl,260709859,kF`%>^IDE^x8,
55,Paddy,Bedburrow,Peru,925-6399,PBedburrow@gmx.de,187665154,Zu~_Y:)o\@f,
58,Mavra,McGreal,Sri Lanka,219-4814,MMcGreal@home.nl,298994314,U$v+F{t`}<<Jh%,
21,Moss,Punton,Georgia,444-8189,MPunton@voila.fr,337949908,5%_l{6,
50,Cathleen,Mew,Ecuador,398-8136,CMew@optonline.net,467889618,L[-d5vK+n}X`,
11,Lorne,Brodhead,Ukraine,444-7369,LBrodhead@gmx.de,704569917,{b5Bi.,
47,Lydon,Jose,Palau,209-2181,LJose@frontiernet.net,440554603,xMt.nW,
73,Glyn,Verdy,Kuwait,908-5124,GVerdy@googlemail.com,463304213,j-E*J\Qb,
100,Ad,Shearme,Turkey,997-9569,AShearme@terra.com.br,379529128,My<o*=#t,
8,Jesselyn,Ducastel,Russia,444-9245,JDucastel@facebook.com,539493451,.r7!cP(d{ASK=,
10,Egor,Castellanos,Brazil,444-5143,ECastellanos@yahoo.co.uk,175335928,[%$j4U1O,
94,Lauryn,Borres,Azerbaijan,444-2660,LBorres@me.com,601422376,@z:ipD8.P[/iW7D,
60,Nikki,Roles,Mexico,867-6050,NRoles@gmail.com,203409954,?57n^<S+=N,
96,Sorcha,Jurgensen,Ireland,398-6780,SJurgensen@yahoo.com.mx,529363923,gk[Qko?nFu,
95,Gayelord,Ladlow,Dominican Republic,908-8134,GLadlow@earthlink.net,338101281,\@(v+U:i,
67,Glenn,Gheeorghie,Angola,209-5124,GGheeorghie@yahoo.it,431016259,(dwX@CT,
78,Yvonne,O'Cannovane,Honduras,867-6606,YO'Cannovane@virgilio.it,433584523,HfU~%@IYxrf$n,
68,Norry,Vaszoly,Dominican Republic,429-3435,NVaszoly@juno.com,345240853,}rULU\A<o_RXxB,
32,Dian,Birkenhead,Papua New Guinea,219-9618,DBirkenhead@terra.com.br,199058025,yptP4YAbH>pJu]xR,
12,Finlay,Archambault,United Arab Emirates,398-2505,FArchambault@yahoo.it,212502954,`ym/0J.?w.Y,
